ts,o,h,l,c,oi,vix,oi_change
2025-12-12 09:15:00+05:30,25971.2,26013.85,25963.1,26009.3,474890,10.13,
2025-12-12 09:30:00+05:30,26010.15,26038.4,26010.15,26024.85,479115,10.12,4225.0
2025-12-12 09:45:00+05:30,26024.6,26027.25,26001.6,26006.5,480415,10.14,1300.0
2025-12-12 10:00:00+05:30,26006.35,26011.3,25968.6,25989.15,481780,10.1,1365.0
2025-12-12 10:15:00+05:30,25989.9,26008.25,25938.45,25960.3,482950,10.13,1170.0
2025-12-12 10:30:00+05:30,25959.95,25983.45,25955.9,25960.85,483080,10.13,130.0
2025-12-12 10:45:00+05:30,25962.55,25974.95,25949.15,25954.9,483665,10.14,585.0
2025-12-12 11:00:00+05:30,25955.4,26000.25,25953.3,25990.8,483535,10.09,-130.0
2025-12-12 11:15:00+05:30,25991.7,26019.35,25989.25,26013.0,483600,10.04,65.0
2025-12-12 11:30:00+05:30,26013.1,26020.95,26005.5,26014.65,484250,10.08,650.0
2025-12-12 11:45:00+05:30,26014.15,26033.6,26008.75,26028.3,484835,10.06,585.0
2025-12-12 12:00:00+05:30,26028.95,26037.85,25998.95,26014.2,486395,10.11,1560.0
2025-12-12 12:15:00+05:30,26014.2,26029.5,26007.55,26023.05,486460,10.09,65.0
2025-12-12 12:30:00+05:30,26023.5,26037.85,26015.55,26016.75,486915,10.17,455.0
2025-12-12 12:45:00+05:30,26016.8,26024.9,26011.85,26022.4,488085,10.15,1170.0
2025-12-12 13:00:00+05:30,26023.4,26035.05,26009.05,26034.7,488475,10.2,390.0
2025-12-12 13:15:00+05:30,26035.2,26035.8,26015.1,26015.1,488605,10.12,130.0
2025-12-12 13:30:00+05:30,26016.35,26027.7,26008.95,26023.1,489580,10.11,975.0
2025-12-12 13:45:00+05:30,26023.5,26033.55,26018.05,26025.8,489515,10.2,-65.0
2025-12-12 14:00:00+05:30,26025.85,26056.3,26024.2,26042.9,491140,10.2,1625.0
2025-12-12 14:15:00+05:30,26043.15,26045.5,26026.95,26034.1,491985,10.16,845.0
2025-12-12 14:30:00+05:30,26034.55,26039.5,26018.7,26026.95,492440,10.15,455.0
2025-12-12 14:45:00+05:30,26027.2,26031.2,26015.8,26026.95,492440,10.13,0.0
2025-12-12 15:00:00+05:30,26033.1,26057.6,26033.1,26053.95,493025,10.11,585.0
2025-12-12 15:15:00+05:30,26053.35,26054.5,26037.15,26043.0,492245,10.07,-780.0
2025-12-15 09:15:00+05:30,25930.05,26007.2,25913.65,25918.6,490165,10.58,-2080.0
2025-12-15 09:30:00+05:30,25918.75,25936.9,25910.25,25917.15,489190,10.52,-975.0
2025-12-15 09:45:00+05:30,25916.8,25953.0,25904.75,25951.6,492050,10.4,2860.0
2025-12-15 10:00:00+05:30,25951.9,25962.2,25937.5,25961.35,493220,10.38,1170.0
2025-12-15 10:15:00+05:30,25961.35,25978.1,25954.55,25976.05,493935,10.36,715.0
2025-12-15 10:30:00+05:30,25976.1,25981.3,25946.95,25968.15,494845,10.39,910.0
2025-12-15 10:45:00+05:30,25968.4,25997.55,25965.95,25987.25,495235,10.3,390.0
2025-12-15 11:00:00+05:30,25987.35,25993.6,25974.55,25980.95,495495,10.29,260.0
2025-12-15 11:15:00+05:30,25980.85,25995.55,25968.15,25991.7,495885,10.13,390.0
2025-12-15 11:30:00+05:30,25991.15,25994.6,25961.55,25971.0,496145,10.15,260.0
2025-12-15 11:45:00+05:30,25971.2,26021.25,25969.85,26016.1,496405,10.1,260.0
2025-12-15 12:00:00+05:30,26016.2,26028.25,26008.55,26018.55,497055,10.09,650.0
2025-12-15 12:15:00+05:30,26019.55,26027.3,26011.45,26018.6,496275,10.1,-780.0
2025-12-15 12:30:00+05:30,26020.1,26029.95,26007.7,26010.15,497640,10.13,1365.0
2025-12-15 12:45:00+05:30,26009.95,26022.85,26003.45,26016.0,498420,10.09,780.0
2025-12-15 13:00:00+05:30,26016.2,26045.0,26015.35,26042.1,498485,10.19,65.0
2025-12-15 13:15:00+05:30,26041.95,26043.95,26024.4,26025.7,498745,10.09,260.0
2025-12-15 13:30:00+05:30,26025.7,26036.0,26023.4,26025.45,498745,10.23,0.0
2025-12-15 13:45:00+05:30,26025.6,26034.05,26018.65,26022.2,501605,10.24,2860.0
2025-12-15 14:00:00+05:30,26022.0,26038.05,25990.15,26009.85,502255,10.28,650.0
2025-12-15 14:15:00+05:30,26009.5,26020.35,26007.4,26016.65,502255,10.27,0.0
2025-12-15 14:30:00+05:30,26016.45,26035.65,26008.5,26035.65,502320,10.27,65.0
2025-12-15 14:45:00+05:30,26035.2,26047.15,26028.05,26036.5,501865,10.24,-455.0
2025-12-15 15:00:00+05:30,26035.1,26037.6,26019.55,26030.05,502125,10.23,260.0
2025-12-15 15:15:00+05:30,26029.85,26031.55,26013.35,26014.0,499980,10.18,-2145.0
2025-12-16 09:15:00+05:30,25951.5,25980.75,25920.1,25923.1,498485,10.18,-1495.0
2025-12-16 09:30:00+05:30,25922.75,25930.8,25901.65,25926.65,501280,10.23,2795.0
2025-12-16 09:45:00+05:30,25926.0,25943.75,25902.6,25906.1,502580,10.19,1300.0
2025-12-16 10:00:00+05:30,25906.05,25906.1,25879.3,25892.85,508235,10.29,5655.0
2025-12-16 10:15:00+05:30,25892.45,25922.7,25888.15,25910.45,509405,10.15,1170.0
2025-12-16 10:30:00+05:30,25909.95,25919.35,25898.15,25905.3,510315,10.19,910.0
2025-12-16 10:45:00+05:30,25904.85,25911.5,25890.85,25900.15,510510,10.22,195.0
2025-12-16 11:00:00+05:30,25899.75,25910.35,25891.3,25898.8,511290,10.23,780.0
2025-12-16 11:15:00+05:30,25898.25,25911.2,25892.6,25905.45,511875,10.19,585.0
2025-12-16 11:30:00+05:30,25905.7,25907.65,25872.6,25875.1,514930,10.31,3055.0
2025-12-16 11:45:00+05:30,25875.65,25891.0,25871.2,25876.05,519805,10.3,4875.0
2025-12-16 12:00:00+05:30,25876.3,25890.65,25870.45,25887.5,521560,10.29,1755.0
2025-12-16 12:15:00+05:30,25887.05,25908.5,25882.2,25906.15,522860,10.25,1300.0
2025-12-16 12:30:00+05:30,25905.6,25914.45,25880.25,25894.35,524355,10.26,1495.0
2025-12-16 12:45:00+05:30,25893.7,25901.0,25876.15,25898.75,527085,10.2,2730.0
2025-12-16 13:00:00+05:30,25898.9,25899.2,25875.85,25886.85,527800,10.21,715.0
2025-12-16 13:15:00+05:30,25887.65,25896.7,25876.3,25885.3,528060,10.21,260.0
2025-12-16 13:30:00+05:30,25885.6,25916.25,25884.7,25905.15,528450,10.1,390.0
2025-12-16 13:45:00+05:30,25904.95,25929.15,25894.45,25897.25,530270,10.08,1820.0
