ts,o,h,l,c,oi,vix,oi_change
2026-02-09 15:15:00+05:30,25866.55,25870.55,25856.85,25863.3,15375880,12.26,
2026-02-09 15:00:00+05:30,25860.5,25875.85,25859.35,25866.3,15466880,12.2,91000.0
2026-02-09 14:45:00+05:30,25844.95,25861.3,25836.25,25858.05,15523495,12.12,56615.0
2026-02-09 14:30:00+05:30,25860.05,25861.0,25840.35,25843.8,15531295,12.06,7800.0
2026-02-09 14:15:00+05:30,25845.25,25864.4,25842.2,25858.7,15543970,12.12,12675.0
2026-02-09 14:00:00+05:30,25846.1,25853.8,25835.5,25844.4,15550665,12.07,6695.0
2026-02-09 13:45:00+05:30,25854.05,25857.3,25843.1,25845.65,15562430,12.11,11765.0
2026-02-09 13:30:00+05:30,25840.35,25856.1,25835.85,25853.3,15567240,12.02,4810.0
2026-02-09 13:15:00+05:30,25850.75,25860.0,25836.85,25838.15,15586155,12.06,18915.0
2026-02-09 13:00:00+05:30,25838.4,25860.3,25835.9,25849.95,15607735,12.03,21580.0
2026-02-09 12:45:00+05:30,25836.0,25839.8,25819.95,25837.25,15597270,12.03,-10465.0
2026-02-09 12:30:00+05:30,25850.55,25850.9,25831.55,25835.95,15608125,12.1,10855.0
2026-02-09 12:15:00+05:30,25856.6,25861.45,25848.5,25849.3,15619045,12.12,10920.0
2026-02-09 12:00:00+05:30,25834.3,25861.25,25833.9,25856.25,15621060,12.1,2015.0
2026-02-09 11:45:00+05:30,25850.45,25852.3,25830.5,25834.75,15636790,12.16,15730.0
2026-02-09 11:30:00+05:30,25858.85,25866.55,25842.0,25851.0,15652065,12.14,15275.0
2026-02-09 11:15:00+05:30,25858.15,25868.35,25851.75,25858.4,15662855,12.16,10790.0
2026-02-09 11:00:00+05:30,25865.2,25870.05,25853.45,25857.95,15691195,12.16,28340.0
2026-02-09 10:45:00+05:30,25852.8,25866.4,25844.5,25864.6,15717650,12.14,26455.0
2026-02-09 10:30:00+05:30,25812.3,25852.35,25810.1,25852.35,15745275,12.12,27625.0
2026-02-09 10:15:00+05:30,25800.1,25829.95,25794.0,25812.8,15791035,12.14,45760.0
2026-02-09 10:00:00+05:30,25814.8,25831.1,25796.15,25801.6,15919865,12.15,128830.0
2026-02-09 09:45:00+05:30,25792.9,25819.25,25790.35,25814.1,15942225,12.15,22360.0
2026-02-09 09:30:00+05:30,25822.0,25835.5,25780.9,25793.05,15943590,12.25,1365.0
2026-02-09 09:15:00+05:30,25888.7,25922.25,25793.3,25822.9,15940730,12.18,-2860.0
2026-02-06 15:15:00+05:30,25697.75,25703.95,25660.2,25673.6,16008915,12.01,68185.0
2026-02-06 15:00:00+05:30,25671.2,25703.8,25671.2,25698.5,15989155,11.92,-19760.0
2026-02-06 14:45:00+05:30,25651.8,25671.85,25633.65,25670.3,16070795,11.91,81640.0
2026-02-06 14:30:00+05:30,25611.1,25652.4,25606.5,25651.85,15883725,11.99,-187070.0
2026-02-06 14:15:00+05:30,25612.15,25630.65,25601.9,25610.9,15880735,11.93,-2990.0
2026-02-06 14:00:00+05:30,25617.4,25633.3,25607.15,25612.3,15882815,11.92,2080.0
2026-02-06 13:45:00+05:30,25578.3,25626.1,25572.05,25617.6,15908295,11.88,25480.0
2026-02-06 13:30:00+05:30,25569.4,25598.75,25549.1,25578.45,15928835,11.92,20540.0
2026-02-06 13:15:00+05:30,25562.1,25576.65,25559.7,25569.0,15935400,11.93,6565.0
2026-02-06 13:00:00+05:30,25556.15,25573.15,25540.2,25561.45,15919085,11.97,-16315.0
2026-02-06 12:45:00+05:30,25542.8,25570.35,25526.65,25556.7,15911610,11.97,-7475.0
2026-02-06 12:30:00+05:30,25573.25,25573.5,25536.7,25543.45,15868060,12.05,-43550.0
2026-02-06 12:15:00+05:30,25611.7,25614.35,25561.35,25573.75,15790255,11.96,-77805.0
2026-02-06 12:00:00+05:30,25631.35,25657.9,25588.45,25611.05,15780115,11.95,-10140.0
2026-02-06 11:45:00+05:30,25623.85,25641.8,25613.2,25632.25,15771275,12.01,-8840.0
2026-02-06 11:30:00+05:30,25588.5,25644.5,25582.95,25623.8,15766530,11.96,-4745.0
2026-02-06 11:15:00+05:30,25577.8,25598.2,25564.6,25588.55,15870985,12.0,104455.0
2026-02-06 11:00:00+05:30,25522.75,25576.4,25522.75,25576.4,15891525,12.02,20540.0
2026-02-06 10:45:00+05:30,25501.7,25524.2,25491.9,25522.5,15817815,12.09,-73710.0
2026-02-06 10:30:00+05:30,25507.1,25525.85,25496.1,25502.4,15746315,12.17,-71500.0
2026-02-06 10:15:00+05:30,25515.8,25558.8,25506.65,25506.65,15688725,12.15,-57590.0
2026-02-06 10:00:00+05:30,25552.35,25560.45,25504.6,25515.8,15678650,12.1,-10075.0
2026-02-06 09:45:00+05:30,25527.2,25570.8,25527.2,25552.35,15656420,12.19,-22230.0
2026-02-06 09:30:00+05:30,25574.6,25574.6,25522.25,25526.3,15615210,12.25,-41210.0
2026-02-06 09:15:00+05:30,25605.8,25630.8,25553.55,25574.35,15554240,12.26,-60970.0
2026-02-05 15:15:00+05:30,25647.75,25649.75,25621.55,25641.6,15783105,12.14,228865.0
2026-02-05 15:00:00+05:30,25646.05,25669.75,25630.45,25647.8,15797665,12.15,14560.0
2026-02-05 14:45:00+05:30,25624.25,25649.0,25609.05,25645.2,15838810,12.2,41145.0
2026-02-05 14:30:00+05:30,25611.8,25640.35,25606.35,25624.05,16006705,12.25,167895.0
2026-02-05 14:15:00+05:30,25597.45,25617.65,25589.9,25611.9,15990780,12.25,-15925.0
2026-02-05 14:00:00+05:30,25635.4,25642.0,25579.5,25596.95,15944305,12.32,-46475.0
2026-02-05 13:45:00+05:30,25635.8,25647.4,25621.05,25635.25,15887365,12.23,-56940.0
2026-02-05 13:30:00+05:30,25611.7,25643.5,25611.7,25635.9,16017820,12.22,130455.0
2026-02-05 13:15:00+05:30,25637.45,25657.3,25611.2,25612.3,15993315,12.29,-24505.0
2026-02-05 13:00:00+05:30,25640.1,25646.45,25629.55,25636.8,15982005,12.2,-11310.0
2026-02-05 12:45:00+05:30,25617.2,25646.55,25606.75,25640.8,15971345,12.25,-10660.0
2026-02-05 12:30:00+05:30,25620.9,25634.95,25603.75,25617.45,15944240,12.29,-27105.0
2026-02-05 12:15:00+05:30,25629.7,25630.5,25611.1,25621.55,15893215,12.31,-51025.0
2026-02-05 12:00:00+05:30,25651.35,25657.7,25627.1,25629.8,15861365,12.28,-31850.0
2026-02-05 11:45:00+05:30,25666.35,25668.3,25629.65,25651.9,15838940,12.2,-22425.0
2026-02-05 11:30:00+05:30,25652.55,25680.2,25641.75,25666.3,15815280,12.16,-23660.0
2026-02-05 11:15:00+05:30,25673.65,25676.9,25639.4,25653.05,15940080,12.21,124800.0
2026-02-05 11:00:00+05:30,25624.35,25678.25,25611.6,25673.55,15910115,12.15,-29965.0
2026-02-05 10:45:00+05:30,25642.8,25651.15,25616.0,25624.0,15875340,12.36,-34775.0
2026-02-05 10:30:00+05:30,25668.9,25670.85,25623.55,25642.65,15843685,12.3,-31655.0
2026-02-05 10:15:00+05:30,25672.5,25700.45,25657.3,25669.55,16011125,12.21,167440.0
2026-02-05 10:00:00+05:30,25637.35,25676.7,25622.55,25672.75,16007420,12.26,-3705.0
2026-02-05 09:45:00+05:30,25635.15,25647.05,25612.9,25637.65,15927535,12.43,-79885.0
2026-02-05 09:30:00+05:30,25690.7,25729.55,25633.85,25635.15,15702050,12.37,-225485.0
2026-02-05 09:15:00+05:30,25755.9,25757.65,25666.15,25690.65,15570555,12.28,-131495.0
2026-02-04 15:15:00+05:30,25783.0,25790.25,25737.5,25737.5,15880280,12.43,309725.0
2026-02-04 15:00:00+05:30,25784.8,25812.4,25780.2,25783.1,15929680,12.22,49400.0
2026-02-04 14:45:00+05:30,25809.7,25812.65,25779.85,25782.65,15957045,12.16,27365.0
2026-02-04 14:30:00+05:30,25797.75,25815.7,25793.15,25809.35,15992860,12.23,35815.0
2026-02-04 14:15:00+05:30,25789.95,25818.55,25788.35,25798.2,15981680,12.22,-11180.0
2026-02-04 14:00:00+05:30,25774.95,25791.7,25755.25,25790.9,15965040,12.16,-16640.0
2026-02-04 13:45:00+05:30,25770.2,25788.25,25761.0,25775.1,15942615,12.19,-22425.0
2026-02-04 13:30:00+05:30,25757.95,25772.7,25757.05,25771.35,15953405,12.18,10790.0
2026-02-04 13:15:00+05:30,25735.9,25759.25,25727.85,25757.25,15970500,12.16,17095.0
2026-02-04 13:00:00+05:30,25704.55,25740.95,25702.65,25736.75,15958475,12.11,-12025.0
2026-02-04 12:45:00+05:30,25738.6,25738.9,25701.25,25705.15,15939040,12.1,-19435.0
2026-02-04 12:30:00+05:30,25746.85,25762.95,25727.2,25738.7,15964520,12.11,25480.0
